,코디,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
70,아메리칸 캐주얼,꾸안꾸,남친룩,핀턱,캠퍼스,와이드핏,여름,캐주얼,브래디백,와일드 브릭스,라퍼지스토어,닥터마틴,메신저크로스 백,잡지무크지,팔찌,맨투맨스웨트셔츠,구두,,,,,,,,
129,아메리칸 캐주얼,봄,캐주얼,캉골,퍼블릭아이콘,디스이즈네버댓,루킹포유,커버낫,메신저크로스 백,기타 컬처,데님 팬츠,안경 소품,헌팅캡베레모,캔버스단화,안경,맨투맨스웨트셔츠,,,,,,,,,
201,아메리칸 캐주얼,아가일,모노톤,데이트,남친룩,가을,댄디,엘에이알,니티드,후러브스아트,까르벵 워치,쌤소나이트 레드,카디건,슈트 팬츠슬랙스,쿼츠 아날로그,토트백,,,,,,,,,
221,아메리칸 캐주얼,캐주얼,폴로 랄프 로렌,메이킷투,나이키,이벳필드,코닥,캡야구 모자,데님 팬츠,패션스니커즈화,니트스웨터,,,,,,,,,,,,,,
269,아메리칸 캐주얼,오버핏,벌룬핏,시티보이룩,로고플레이,여름,캐주얼,트래블,라퍼지스토어,셔츠블라우스,메신저크로스 백,,,,,,,,,,,,,,
282,아메리칸 캐주얼,찢청,로고플레이,봄,캐주얼,겐지,문수권세컨,피그앤헨,에이카화이트,뉴발란스,선글라스,데님 팬츠,안경 소품,팔찌,반소매 티셔츠,,,,,,,,,,
312,아메리칸 캐주얼,캐주얼,로스코,라퍼지스토어,이스트팩,제로,블로퍼,캔버스단화,버킷사파리햇,웨이스트 백,트레이닝조거 팬츠,,,,,,,,,,,,,,
363,아메리칸 캐주얼,가을,스트릿,제로,쇼브오프,라퍼지스토어,크리틱,트레이닝조거 팬츠,액자포스터,팔찌,메신저크로스 백,니트스웨터,,,,,,,,,,,,,
367,아메리칸 캐주얼,봄,캐주얼,본챔스,제로,와릿이즌,나이키,레인스,캡야구 모자,트레이닝조거 팬츠,안경 소품,반소매 티셔츠,긴소매 티셔츠,후드 집업,패션스니커즈화,메신저크로스 백,,,,,,,,,
409,아메리칸 캐주얼,로고플레이,스트라이프,캠퍼스,레이어드룩,벌룬핏,가을,캐주얼,브래디백,아디다스,라모랭,이벳필드,예일,노드스튜디오,라퍼지스토어,메신저크로스 백,잡지무크지,패션스니커즈화,비니,맨투맨스웨트셔츠,셔츠블라우스,데님 팬츠,사파리헌팅 재킷,,
460,아메리칸 캐주얼,레이어드룩,레더,남친룩,데이트,뉴트럴톤,소개팅,가을,댄디,블루엘리펀트,수아레,파인드카푸어,토마스모어,시그니처,컬러콜라,라퍼지스토어,안경,니트스웨터,숄더백,슈트 팬츠슬랙스,부츠,,,,
