,코디,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,캐주얼,로고플레이,편안한,원마일웨어,와이드핏,여름,캐주얼,리,세미콜론 아이웨어,제로,반스,베지터블테이블,셔츠블라우스,반소매 티셔츠,안경,트레이닝조거 팬츠,캔버스단화,캡야구 모자,,,,,,,
2,캐주얼,봄,캐주얼,라퍼지스토어,다이아몬드 레이라,나이키,엠프렌즈,모티패스트,이에스엔,안경 소품,디퓨저캔들,반소매 티셔츠,셔츠블라우스,패션스니커즈화,케이스슬리브,캡야구 모자,레더라이더스 재킷,맨투맨스웨트셔츠,,,,,,,
5,캐주얼,봄,캐주얼,카시오,코닥,제로,와릿이즌,뉴발란스,커버낫,디지털,미니스커트,캡야구 모자,트레이닝조거 팬츠,,,,,,,,,,,,
7,캐주얼,봄,캐주얼,본챔스,제로,와릿이즌,나이키,레인스,캡야구 모자,트레이닝조거 팬츠,안경 소품,반소매 티셔츠,긴소매 티셔츠,후드 집업,패션스니커즈화,메신저크로스 백,,,,,,,,,
8,캐주얼,가을,캐주얼,칼하트,라츠,이벳필드,커버낫,셔츠블라우스,데님 팬츠,캡야구 모자,,,,,,,,,,,,,,,
9,캐주얼,원마일웨어,로고플레이,가을,캐주얼,로커드,자브라,엘에이알,타입서비스,토피,트레이닝조거 팬츠,안경 소품,이어폰,패션스니커즈화,맨투맨스웨트셔츠,후드 집업,,,,,,,,,
10,캐주얼,꾸안꾸,남친룩,핀턱,캠퍼스,와이드핏,여름,캐주얼,브래디백,와일드 브릭스,라퍼지스토어,닥터마틴,메신저크로스 백,잡지무크지,팔찌,맨투맨스웨트셔츠,구두,,,,,,,,
11,캐주얼,봄,캐주얼,제멋,화이트블럭,엠엠엘지,어널러코드,뉴발란스,예일,블루종MA1,케이스슬리브,반소매 티셔츠,트레이닝조거 팬츠,캡야구 모자,,,,,,,,,,,
12,캐주얼,봄,캐주얼,파르티멘토,반스,벗딥,커버낫,목걸이펜던트,캔버스단화,메신저크로스 백,코튼 팬츠,반소매 티셔츠,,,,,,,,,,,,,
13,캐주얼,오버핏,플리스,리버서블,편안한,원마일웨어,가을,캐주얼,프로스펙스,브렌슨,고다신,커버낫,주네시 스포츠 클럽,제멋,캔버스단화,트레이닝조거 팬츠,안경 소품,액자포스터,이어폰,플리스뽀글이,캡야구 모자,맨투맨스웨트셔츠,,,
