,코디,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
3,댄디,봄,댄디,후러브스아트,발렌티노 루디,오니츠카타이거,예일,오버다인,슈트 팬츠슬랙스,안경 소품,쿼츠 아날로그,반려동물용품,미디스커트,반소매 티셔츠,메신저크로스 백,,,,,,,,,,
11,댄디,데이트,그래픽,레이어드룩,가을,댄디,엘무드,뮤지엄바이비컨,테이크이지,로스트가든,아르반,플랙,누깍,반소매 티셔츠,니트스웨터,안경,셔츠블라우스,부츠,블루종MA1,데님 팬츠,숄더백,,,,
12,댄디,봄,댄디,모디파이드,반,락포트,수아레,슈트블레이저 재킷,기타 시계,메신저크로스 백,데님 팬츠,구두,셔츠블라우스,,,,,,,,,,,,
16,댄디,레더,모노톤,데이트,슬림핏,가을,댄디,플랙,에이징씨씨씨,카시오,닉앤니콜 포 맨,로맨틱무브,드로우핏,데님 팬츠,안경 소품,액자포스터,레더라이더스 재킷,쿼츠 아날로그,토트백,부츠,니트스웨터,,,,
17,댄디,아가일,모노톤,데이트,남친룩,가을,댄디,엘에이알,니티드,후러브스아트,까르벵 워치,쌤소나이트 레드,카디건,슈트 팬츠슬랙스,쿼츠 아날로그,토트백,,,,,,,,,
28,댄디,미니멀,남친룩,데이트,레더,여름,댄디,페이탈리즘,몬스터리퍼블릭,로스트가든,블론드나인,브렌슨,데님 팬츠,안경 소품,메신저크로스 백,안경,구두,베스트,반소매 티셔츠,,,,,,
41,댄디,봄,댄디,후러브스아트,발렌티노 루디,오니츠카타이거,예일,오버다인,슈트 팬츠슬랙스,안경 소품,쿼츠 아날로그,반려동물용품,미디스커트,반소매 티셔츠,메신저크로스 백,,,,,,,,,,
46,댄디,봄,캐주얼,제멋,화이트블럭,엠엠엘지,어널러코드,뉴발란스,예일,블루종MA1,케이스슬리브,반소매 티셔츠,트레이닝조거 팬츠,캡야구 모자,,,,,,,,,,,
48,댄디,오버핏,플리스,리버서블,편안한,원마일웨어,가을,캐주얼,프로스펙스,브렌슨,고다신,커버낫,주네시 스포츠 클럽,제멋,캔버스단화,트레이닝조거 팬츠,안경 소품,액자포스터,이어폰,플리스뽀글이,캡야구 모자,맨투맨스웨트셔츠,,,
53,댄디,와이드핏,체크,그래픽,지브라,편안한,원마일웨어,가을,캐주얼,제로,반스,미니멀프로젝트,엘엠씨,원헌드레드퍼센트,트레이닝조거 팬츠,캔버스단화,비니,맨투맨스웨트셔츠,,,,,,,
59,댄디,키높이,워싱,레더,모노톤,SELFLOVE,셀럽템,가을,캐주얼,파르티멘토,컨버스,레더라이더스 재킷,숏패딩숏헤비 아우터,셔츠블라우스,캔버스단화,데님 팬츠,,,,,,,,,
62,댄디,톤온톤,뉴트럴톤,캠퍼스,피크닉,와이드핏,오버핏,꾸안꾸,여름,캐주얼,벗딥,엠엠엘지,캐치볼,예일,반원 아틀리에,토트백,잡지무크지,캡야구 모자,캔버스단화,반소매 티셔츠,,,,,
63,댄디,원마일웨어,로고플레이,한파,가을,캐주얼,골라 클래식,예일,로마네,브라운브레스,노스페이스,오닐,후드 티셔츠,케이스슬리브,트레이닝조거 팬츠,숏패딩숏헤비 아우터,메신저크로스 백,,,,,,,,
64,댄디,봄,포멀,모디파이드,엘무드,조셉트,로우로우,에스피오나지,슈트블레이저 재킷,기타 시계,반소매 티셔츠,니트스웨터,구두,안경,셔츠블라우스,,,,,,,,,,
68,댄디,로고플레이,스트라이프,캠퍼스,레이어드룩,벌룬핏,가을,캐주얼,브래디백,아디다스,라모랭,이벳필드,예일,노드스튜디오,라퍼지스토어,메신저크로스 백,잡지무크지,패션스니커즈화,비니,맨투맨스웨트셔츠,셔츠블라우스,데님 팬츠,사파리헌팅 재킷,,
81,댄디,꾸안꾸,올블랙,로고플레이,봄,캐주얼,와릿이즌,나이키,파츠,제이반스 클래식,호카오네오네,메인부스,셔츠블라우스,반소매 티셔츠,캡야구 모자,팔찌,벨트,,,,,,,,
