,0,코디,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,20210730,캐주얼,35753,16,로고플레이,편안한,원마일웨어,와이드핏,여름,캐주얼,리,세미콜론 아이웨어,제로,반스,베지터블테이블,셔츠블라우스,반소매 티셔츠,안경,트레이닝조거 팬츠,캔버스단화,캡야구 모자,,,,,,,
1,20210203,스트릿,33411,19,봄,스트릿,제로,월간,라퍼지스토어,키치오브제,블론드나인,47브랜드,트레이닝조거 팬츠,액자포스터,목걸이펜던트,레더라이더스 재킷,캔버스단화,니트스웨터,캡야구 모자,,,,,,,,,
2,20210223,캐주얼,31119,42,봄,캐주얼,라퍼지스토어,다이아몬드 레이라,나이키,엠프렌즈,모티패스트,이에스엔,안경 소품,디퓨저캔들,반소매 티셔츠,셔츠블라우스,패션스니커즈화,케이스슬리브,캡야구 모자,레더라이더스 재킷,맨투맨스웨트셔츠,,,,,,,
3,20201029,스트릿,27571,4,가을,스트릿,제로,쇼브오프,라퍼지스토어,크리틱,트레이닝조거 팬츠,액자포스터,팔찌,메신저크로스 백,니트스웨터,,,,,,,,,,,,,
4,20210430,댄디,27238,2,봄,댄디,후러브스아트,발렌티노 루디,오니츠카타이거,예일,오버다인,슈트 팬츠슬랙스,안경 소품,쿼츠 아날로그,반려동물용품,미디스커트,반소매 티셔츠,메신저크로스 백,,,,,,,,,,
5,20210223,캐주얼,22326,22,봄,캐주얼,카시오,코닥,제로,와릿이즌,뉴발란스,커버낫,디지털,미니스커트,캡야구 모자,트레이닝조거 팬츠,,,,,,,,,,,,
6,20201224,스트릿,20416,1,겨울,스트릿,제로,디스이즈네버댓,아이더,어글리비버,일일이삼육오,트레이닝조거 팬츠,액자포스터,맨투맨스웨트셔츠,패션스니커즈화,버킷사파리햇,,,,,,,,,,,,
7,20210329,캐주얼,19810,2,봄,캐주얼,본챔스,제로,와릿이즌,나이키,레인스,캡야구 모자,트레이닝조거 팬츠,안경 소품,반소매 티셔츠,긴소매 티셔츠,후드 집업,패션스니커즈화,메신저크로스 백,,,,,,,,,
8,20201028,캐주얼,19613,7,가을,캐주얼,칼하트,라츠,이벳필드,커버낫,셔츠블라우스,데님 팬츠,캡야구 모자,,,,,,,,,,,,,,,
9,20210915,캐주얼,19112,편안한,원마일웨어,로고플레이,가을,캐주얼,로커드,자브라,엘에이알,타입서비스,토피,트레이닝조거 팬츠,안경 소품,이어폰,패션스니커즈화,맨투맨스웨트셔츠,후드 집업,,,,,,,,,
